/atg/commerce/catalog/SecureProductCatalog:coverSku, ,TIMEFORMAT=M/d/yyyy h:mm a, ,LOCALE=en_US,
ID,acaBadge,additionalDetails,addedMaterialTypes,hasAdjustableHeadrest,hasAdjustableLumbar,altImages,archCoverAvlb,archwayID,atAGlanceContent,ar_enabled,auxiliaryMedia,bundleLinks,capCode,careFeatures,cleaningCode,collectionName,coverColor,colorDescription,colorNumber,commodityCode,colorFamilyImages,coverStatus,coverType,description,discountable,displayHeader,dynamicAttributes,endDate,faceContents,wtbFeatureImg1,wtbFeatureImg1Alt,wtbFeatureImg1Caption,wtbFeatureImg2,wtbFeatureImg2Alt,wtbFeatureImg2Caption,fractionalQuantitiesAllowed,fulfiller,grade,headerText,hasHeatMassage,hideAGlance,hideForCA,hideStillDeciding,hideForTextSearch,skuDocUrl,isPillowOptions,itemAcl,largeImage,wtbLeftImg,hasLiftFunction,linkDescription,listPrice,madeInUSABadge,manufacturer_part_number,mostPopular,isNew,nonreturnable,numberOfCushions,onSale,onlineExclusive,onlineExclusiveText,onlineOnly,patternName,pdpDefaultImage,perfectForInfo,performanceFabricFlag,cdpDefaultImage,cdpMouseOverImage,hasPower,productCategoryCode,prodCategoryDesc,belowFoldVideoMedia,isPurchaseable,quantity,fixedReplacementProducts,romanceCopy,salePrice,series,showOnline,dimensionImage,isSleeper,smallImage,sortOrder,startDate,status,stillDecidingLinks,hasStorage,template,thumbnailImage,unitOfMeasure,unsearchable,hasUsbChargingPort,useCareInstructions,belowFoldHowToMedia,videos,warrantyInfo,wearDatedId,wearability,wholesalePrice
D154154,false,,,,,,false,,,,,,DR,,WS,Major Upholstery,54,Flannel,54,CL,,A,fabric,"Shhhhhhhhhh.....Top Secret is a multi-yarn texture that packs in a lot of look. A heathered filament yarn, a polyester slub yarn, and a straight spun yarn are woven together on a dimensional heathered warp for tons of texture.",true,,,,"65.83% Olefin,34.17% Polyester",,,,,,,,,D,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Solids,,,false,,,,MU,,,false,,,,,1541,false,,,,,,D,,,,,,true,,,,,,,2,
G170425,false,,,,,,false,,,false,,,DR,,W,Major Upholstery,25,Forest,,,,A,fabric,"A multicolor space dyed, woven fabric with exaggerated slub yarns to give ultimate texture and personality to this one of a kind textile. This pattern is the perfect accent fabric to compliment any design. Made of 100% polyester.",true,,,,100% Polyester,,,,,,,,,G,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Secondary,,,false,,,,MU,,,false,,,,,1704,false,,,,,,D,,,,,,true,,,,,,,3,
B157774,false,,,,,,false,,,,,,UR,,WS,Chair,74,Fossil,,,,A,fabric,"With its soft feel and appealing texture, Denali is a wonderful printed velvet. This pattern creates harmonious and handsome colorways. Denali uses a slight ribbed texture, enhancing its fantastic hand.",true,,,,100% Polyester,,,,,,,,,B,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Secondary,,,false,,,,CH,,,false,,,,,1577,false,,,,,,D,,,,,,true,,,,,,,2,
LB147755,false,,,,,,false,,,,,,LM,,L,Major Upholstery,55,Grey,55,LH,,A,leather,Major Upholstery,true,,,,null,,,,,,,,,LB,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,,,,true,,,,MU,,,false,,,,,1477,false,,,,,,D,,,,,,true,,,,,,,8,
G167353,false,,,,,,false,,,,,,DR,,WS,Major Upholstery,53,Grey,,,,A,fabric,"This transitional design has a casual feel thanks to the novelty slub yarn. The sheen from the yarns in the figure adds sophistication and gives this fabric a wonderful hand. Twinkle Twinkle provides a modern, pop of color for a stunning accent.",true,,,,100% Polyester,,,,,,,,,G,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Accents,,,false,,,,MU,,,false,,,,,1673,false,,,,,,D,,,,,,true,,,,,,,3,
J132678,false,,,,,,false,,,,,,DR,,W,Major Upholstery,78,Harvest,78,CL,,A,fabric,"One of Van Gogh’s favorite quotes was “great things are accomplished by a series of small things done really well”. This perfectly describes the new jacquard Van Gogh. The colorations, scale and balance are combinations of complimentary harmony.",true,,,,100% Polyester,,,,,,,,,J,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Florals,,,false,,,,MU,,,false,,,,,1326,false,,,,,,D,,,,,,true,,,,,,,2,
D154176,false,,,,,,false,,,,,,DR,,WS,Major Upholstery,76,Java,76,CL,,A,fabric,"Shhhhhhhhhh.....Top Secret is a multi-yarn texture that packs in a lot of look. A heathered filament yarn, a polyester slub yarn, and a straight spun yarn are woven together on a dimensional heathered warp for tons of texture.",true,,,,"65.83% Olefin,34.17% Polyester",,,,,,,,,D,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,,,,false,,,,MU,,,false,,,,,1541,false,,,,,,D,,,,,,true,,,,,,,2,
J145423,false,,,,,,false,,,,,,DR,,WS,Major Upholstery,23,Jungle,23,CL,,A,fabric,"A painterly, brushstroke texture creating woven blends of beautiful colors. The colors form a subtle grid motif similar to a plaid. Designed to complement pattern Garden Scape.",true,,,,100% Polyester,,,,,,,,,J,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Secondary,,,false,,,,MU,,,false,,,,,1454,false,,,,,,D,,,,,,true,,,,,,,2,
J145523,false,,,,,,false,,,,,,DR,,WS,Major Upholstery,23,Jungle,23,CL,,A,fabric,A stylized Pansy floral with detailed weave combinations creating a “silk like” texture and hand. Designed to correlate with pattern Alfresco.,true,,,,100% Polyester,,,,,,,,,J,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Accents,,,false,,,,MU,,,false,,,,,1455,false,,,,,,D,,,,,,true,,,,,,,2,
C158531,false,,,,,,false,,,,,,DR,,WS,Major Upholstery,31,Linen,,CL,,A,fabric,"Darby features textured, natural looking two-toned yarns and a special weave designed to create the natural appearance of a handwoven grass cloth. This handsome base cloth adds simple sophistication to any room setting from Classic to Modern.",true,,,,100% Polyester,,,,,,,,,C,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Solids,,,false,,,,MU,,,false,,,,,1585,false,,,,,,D,,,,,,true,,,,,,,2,
